,Code de magasin,Horaires le dimanche,Horaires le lundi,Horaires le mardi,Horaires le mercredi,Horaires le jeudi,Horaires le vendredi,Horaires le samedi,Numéro de téléphone principal,Ligne d'adresse 1,Ligne d'adresse 2,Ville,Adresse,Adresse2,Words
77,France50,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 45 00 73 77,3 Avenue Victor Hugo,,Paris,3 Avenue Victor Hugo,,avenue victor hugo  paris
78,France36,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 35 15 83 82,4 Rue du Gros Horloge,,Rouen,4 Rue du Gros Horloge,,rue du gros horloge  rouen
79,Chine6,,,,,,,,010 6612 1920,No 110 Xidan North Street,,Beijing,No 110 Xidan North Street,,no xidan north street  beijing
80,Royaume-Uni2,,,,,,,,020 7792 8788,182 Westbourne Grove,,London,182 Westbourne Grove,,westbourne grove  london
81,France91,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 55 77 22 83,5 Boulevard Carnot,,Limoges,5 Boulevard Carnot,,boulevard carnot  limoges
82,Royaume-Uni10,,,,,,,,020 7351 2231,194 King's Rd,,London,194 King's Rd,,king's rd  london
83,Pays-Bas1,,,,,,,,020 675 9722,78 Pieter Cornelisz Hooftstraat,,Amsterdam,78 Pieter Cornelisz Hooftstraat,,pieter cornelisz hooftstraat  amsterdam
84,France33,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 35 63 42 07,4 rue du Gros Horloge,,Rouen,4 rue du Gros Horloge,,rue du gros horloge  rouen
85,France72,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 31 88 38 16,13 Rue Lucien Barrière,,Deauville,13 Rue Lucien Barrière,,rue lucien barrière  deauville
86,Etats-Unis13,,,,,,,,(617) 630-6653,225 Boylston Street,,Chestnut Hill,225 Boylston Street,,boylston street  chestnut hill
87,France28,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 44 54 00 60,42 rue des Francs Bourgeois,,Paris,42 rue des Francs Bourgeois,,rue des francs bourgeois  paris
88,France74,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 88 32 62 71,13 rue de la Mésange,,Strasbourg,13 rue de la Mésange,,rue de la mésange  strasbourg
89,France73,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 31 87 41 02,13 rue Edmond Blanc,,Deauville,13 rue Edmond Blanc,,rue edmond blanc  deauville
90,Belgique4,,,,,,,,050 60 14 17,144 Kustlaan,,Kokke Heist,144 Kustlaan,,kustlaan  kokke heist
91,France5,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,01 39 46 33 69,2 Avenue de l'Europe,Printemps Vélizy 2,Velizy,2 Avenue de l'Europe,Printemps Vélizy 2,avenue de l'europe printemps vélizy velizy
92,Etats-Unis8,11:00-19:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,(516) 873-2927,630 Old Contry Road 15530,,Garden City,630 Old Contry Road 15530,,old contry road  garden city
93,Chine4,,,,,,,,021 5283 1598,1168 Nanjing Road West,,Shanghai,1168 Nanjing Road West,,nanjing road west  shanghai
94,France99,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 54 29 48,40 Rue Saint-Ferréol,,Marseille,40 Rue Saint-Ferréol,,rue saint-ferréol  marseille
95,France95,,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,01 43 29 18 29,1 Rue Vieux Colombier,,Paris,1 Rue Vieux Colombier,,rue vieux colombier  paris
96,France57,13:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,01 42 71 81 12,22 rue du Bourg Tibourg,,Paris,22 rue du Bourg Tibourg,,rue du bourg tibourg  paris
97,Allemagne1,,,,,,,,030 20625037,Französische Strasse 23,,Berlin,Französische Strasse 23,,französische strasse  berlin
98,France46,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 26 02 23 45,33 Rue Vesle,,Reims,33 Rue Vesle,,rue vesle  reims
99,Japon2,,,,,,,,093-551-4533,3-1-1 Kyomachi,,Kokurakita-ku,3-1-1 Kyomachi,,3-1-1 kyomachi  kokurakita-ku
100,Espagne6,,,,,,,,944 24 76 27,46 Gran Via,,Bilbao,46 Gran Via,,gran via  bilbao
101,Etats-Unis5,,,,,,,,(212) 705-3172,1000 3rd Ave,,NY,1000 3rd Ave,,3rd ave  ny
102,France55,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 99 61 15 85,23 Rue Foch,,Montpellier,23 Rue Foch,,rue foch  montpellier
103,Espagne3,,,,,,,,917 02 10 56,27 Calle Almirante,,Madrid,27 Calle Almirante,,calle almirante  madrid
104,France39,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,03 20 86 00 53,39-45 Rue Nationale,,Lille,39-45 Rue Nationale,,39-45 rue nationale  lille
105,France75,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 42 78 69 92,118 rue Vieille du Temple,,Paris,118 rue Vieille du Temple,,rue vieille du temple  paris
106,Royaume-Uni1,,,,,,,,020 7730 1880,140 Sloane Street,,London,140 Sloane Street,,sloane street  london
107,Royaume-Uni4,,,,,,,,020 7493 3553,400 Oxford Street,,London,400 Oxford Street,,oxford street  london
108,Belgique1,,,,,,,,03 232 42 51,9 Schuttershofstraat,,Anvers,9 Schuttershofstraat,,schuttershofstraat  anvers
109,France43,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 88 24 38 01,34 Rue du 22 Novembre,,Strasbourg,34 Rue du 22 Novembre,,rue du novembre  strasbourg
110,France32,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 35 70 45 01,4 rue du Gros Horloge,,Rouen,4 rue du Gros Horloge,,rue du gros horloge  rouen
111,France89,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 49 09 10 41,96 bld Jean Jaurès,,Boulogne Billancourt,96 bld Jean Jaurès,,bld jean jaurès  boulogne billancourt
112,France70,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 60 55 39,14 Rue Émile Zola,,Lyon,14 Rue Émile Zola,,rue émile zola  lyon
113,France49,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 60 42 66 75,3 cours de la Garonne,,Serris,3 cours de la Garonne,,cours de la garonne  serris
114,France64,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 34 25 12 34,2 rue Cantegril,,Toulouse,2 rue Cantegril,,rue cantegril  toulouse
115,France29,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 84 88 53,42 rue de la République,,Lyon,42 rue de la République,,rue de la république  lyon
116,Italie7,,,,,,,,055 238 2301,1 Piazza Repubblica,,Firenze,1 Piazza Repubblica,,piazza repubblica  firenze
117,Espagne5,,,,,,,,934 67 63 29,73 Paseo de Gracia,,Barcelona,73 Paseo de Gracia,,paseo de gracia  barcelona
118,France14,09:30-20:00,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,02 47 66 21 18,77 Rue Nationale,,Tours,77 Rue Nationale,,rue nationale  tours
119,Royaume-Uni8,11:30-18:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,020 7201 8684,109-125 Knightsbridge,,London,109-125 Knightsbridge,,109-125 knightsbridge  london
120,France37,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,04 93 81 78 50,4 avenue de Suède,,Nice,4 avenue de Suède,,avenue de suède  nice
121,Etats-Unis 14,12:00-17:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,(310) 456-7105,3866 Cross Creek Rd,,Malibu,3866 Cross Creek Rd,,cross creek rd  malibu
122,France17,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 42 52 88,7 rue du Plat,,Lyon,7 rue du Plat,,rue du plat  lyon
123,France68,,,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,03 20 55 19 26,17 rue de la Monnaie,,Lille,17 rue de la Monnaie,,rue de la monnaie  lille
124,Japon11,,,,,,,,047-411-4431,7-7-1 Honcho,,Funabashi,7-7-1 Honcho,,7-7-1 honcho  funabashi
125,France117,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,09 64 10 17 94,Les Terrasses du Port,Quai du Lazaret,Marseille,Les Terrasses du Port,Quai du Lazaret,les terrasses du port quai du lazaret marseille
126,Allemagne6,,,,,,,,0711 51886971,Marktstraße 1,,Stuttgart,Marktstraße 1,,marktstraße  stuttgart
127,Japon4,,,,,,,,03-3341-3251,3-14-1 Shinjuku,,Shinjuku-ku,3-14-1 Shinjuku,,3-14-1 shinjuku  shinjuku-ku
128,France62,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 28 08 91 72,20 Rue de la Marne,,Nantes,20 Rue de la Marne,,rue de la marne  nantes
129,France110,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 20 55 64 29,13 Rue des Chats Bossus,,Lille,13 Rue des Chats Bossus,,rue des chats bossus  lille
130,France122,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,01 42 60 66 28,57 Rue Saint Roch,,Paris,57 Rue Saint Roch,,rue saint roch  paris
131,France103,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 42 60 87 13,Carrousel du Louvre,Rue de Rivoli,Paris,Carrousel du Louvre,Rue de Rivoli,carrousel du louvre rue de rivoli paris
132,Allemagne3,,,,,,,,030 21018084,Wilmersdorfer straße 118,,Berlin,Wilmersdorfer straße 118,,wilmersdorfer straße  berlin
133,France98,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 59 54 93 60,1 Avenue Reine Victoria,,Biarritz,1 Avenue Reine Victoria,,avenue reine victoria  biarritz
134,Turquie2,,,,,,,,(0216) 410 2215,"Bagdat Cad, NO 447/B",,,"Bagdat Cad, NO 447/B",,"bagdat cad, no 447/b  "
135,Italie5,,,,,,,,055 295625,17/19 Via della Vigna Nuova,,Firenze,17/19 Via della Vigna Nuova,,17/19 via della vigna nuova  firenze
136,France35,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 33 64 88,4 Rue Sainte,,Marseille,4 Rue Sainte,,rue sainte  marseille
137,Royaume-Uni11,12:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,020 7591 3810,297-299 Brompton Road,,London,297-299 Brompton Road,,297-299 brompton road  london
138,Grèce1,,,,,,,,21 0364 0222,Voukourestiou no 13,,Athènes,Voukourestiou no 13,,voukourestiou no  athènes
139,Portugal1,,,,,,,,21 342 6316,84-88 Avenida da Liberdade,,Lisboa,84-88 Avenida da Liberdade,,84-88 avenida da liberdade  lisboa
140,Italie4,,,,,,,,06 8535 0130,Piazza Colonna,,Roma,Piazza Colonna,,piazza colonna  roma
141,France71,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 93 99 38 37,131 rue d'Antibes,,Cannes,131 rue d'Antibes,,rue d'antibes  cannes
142,Japon12,,,,,,,,03-3352-1111,3-14-1 Shinjuku,,Shinjuku-ku,3-14-1 Shinjuku,,3-14-1 shinjuku  shinjuku-ku
143,France53,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 56 44 63 30,25 rue Mably,,Bordeaux,25 rue Mably,,rue mably  bordeaux
144,Suisse1,,,,,,,,022 310 81 71,10 Grand Rue,,Genève,10 Grand Rue,,grand rue  genève
145,Italie8,,,,,,,,0421 65106,Via Marco Polo 1,,Noventa di Piave Venezia,Via Marco Polo 1,,via marco polo  noventa di piave venezia
146,France24,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 62 27 04 15,50 rue Boulbonne,,Toulouse,50 rue Boulbonne,,rue boulbonne  toulouse
147,France107,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 79 62 71 82,19 Boulevard de la colonne,,Chambéry,19 Boulevard de la colonne,,boulevard de la colonne  chambéry
148,Japon15,,,,,,,,03-6431-0806,3-17-1 Tamagawa,,Setagaya-ku,3-17-1 Tamagawa,,3-17-1 tamagawa  setagaya-ku
149,France67,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 40 70 97 89,18 rue François,,Paris,18 rue François,,rue françois  paris
150,France106,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-20:00,02 31 91 73 92,108 Bd Maréchal Leclerc,,Caen,108 Bd Maréchal Leclerc,,bd maréchal leclerc  caen
151,Allemagne7,,,,,,,,0211 86939436,Königsallee 2,,Dusseldorf,Königsallee 2,,königsallee  dusseldorf
152,Allemagne2,,,,,,,,030 21018549,Tauentzienstrasse 21/24,,Berlin,Tauentzienstrasse 21/24,,tauentzienstrasse 21/24  berlin
153,Royaume-Uni14,11:30-17:30,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,,020 7486 3004,"111, Marylebone",,London,"111, Marylebone",,"111, marylebone  london"
154,Italie9,,,,,,,,051 234694,"Via Farini, 14",,Bologna,"Via Farini, 14",,"via farini,  bologna"
155,Japon14,,,,,,,,022-302-7566,東一市場19-24,,仙台市青葉区,東一市場19-24,,東一市場19-24  仙台市青葉区
156,Royaume-Uni16,11:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-19:00,,0131 557 6446,30-34 St Andrew Square,,Edinburgh,30-34 St Andrew Square,,30-34 st andrew square  edinburgh
157,Canada1,,,,,,,,(403) 269-7341,510 8th Ave SW,,Calgary,510 8th Ave SW,,8th ave sw  calgary
158,Canada4,,,,,,,,(604) 681-3121,737 Dunsmuir St,,Vancouver,737 Dunsmuir St,,dunsmuir st  vancouver
159,France102,,10:00-21:00,10:00-21:00,10:00-21:00,10:00-22:00,10:00-21:00,10:00-21:00,01 45 75 14 17,12 rue Linois,,Paris,12 rue Linois,,rue linois  paris
160,Royaume-Uni15,10:30-17:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-19:00,,020 7935 5998,Victoria Quater,107-111 Briggate,Leeds,Victoria Quater,107-111 Briggate,victoria quater 107-111 briggate leeds
161,France100,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,02 28 08 93 40,20 Rue de la Marne,,Nantes,20 Rue de la Marne,,rue de la marne  nantes
162,Royaume-Uni13,12:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,020 7259 0049,Harrods Department Store,87-135 Brompton Road,London,Harrods Department Store,87-135 Brompton Road,harrods department store 87-135 brompton road london
163,0028 - Galeries Lafayette Femme Bordeaux,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,05 56 48 58 66,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,Bordeaux,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,rue sainte catherine galeries lafayette bordeaux bordeaux
164,France112,14:00-19:00,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,09 64 15 09 80,2 Place de la Porte Maillot,C.Cial Palais des Congrès,Paris,2 Place de la Porte Maillot,C.Cial Palais des Congrès,place de la porte maillot c.cial palais des congrès paris
165,Singapour1,,,,,,,,6735 8838,260 Orchard Road,,Singapour,260 Orchard Road,,orchard road  singapour
166,France121,12:00-19:30,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,01 53 76 39 33,12 Rond point des Champs Elysées,,Paris,12 Rond point des Champs Elysées,,rond point des champs elysées  paris
167,0103 - GL Femme Lille,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-21:00,10:00-21:00,03 20 86 75 20,6 rue de la Rivierette,,Lille,6 rue de la Rivierette,,rue de la rivierette  lille
168,Canada2,,,,,,,,(403) 269-7341,510 8th Ave SW,,Calgary,510 8th Ave SW,,8th ave sw  calgary
169,Turquie1,,,,,,,,(0212) 232 5766,Vali Konağı Caddesi No:69,,,Vali Konağı Caddesi No:69,,vali konağı caddesi no:69  
170,Suisse6,,,,,,,,021 312 39 10,4 rue de la Paix,,Lausanne,4 rue de la Paix,,rue de la paix  lausanne
171,Ukraine1,,,,,,,,044 364 3525,"Спортивная площадь, 1А",,Киев,"Спортивная площадь, 1А",,"спортивная площадь, 1а  киев"
172,France23,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:30,03 20 20 08 18,44 Rue Mail De Lannoy,McArthurGlen Roubaix,Roubaix,44 Rue Mail De Lannoy,McArthurGlen Roubaix,rue mail de lannoy mcarthurglen roubaix roubaix
173,France52,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,04 78 38 06 45,26 rue Thomassin,,Lyon,26 rue Thomassin,,rue thomassin  lyon
174,Espagne10,,,,,,,,951 27 91 40,"Calle de Ramón Areces, S/N",,Marbella,"Calle de Ramón Areces, S/N",,"calle de ramón areces, s/n  marbella"
175,Luxembourg1,,,,,,,,27 99 65 91,"31, rue Philippe II",,Luxembourg,"31, rue Philippe II",,"31, rue philippe ii  luxembourg"
176,France76,,,10:00-20:00,10:00-20:00,,10:00-21:00,10:00-20:00,01 45 44 22 30,24 rue de Sèvres,Bon Marché,Paris,24 rue de Sèvres,Bon Marché,rue de sèvres bon marché paris
177,France120,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,04 94 42 10 88,RN 98,,La Valette du Var,RN 98,,rn  la valette du var
178,Italie3,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 7639 0404,"18,Via santo spirito",,Milano,"18,Via santo spirito",,"18,via santo spirito  milano"
179,France115,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 99 92 30 77,5 Rue du Bosphore,,Rennes,5 Rue du Bosphore,,rue du bosphore  rennes
180,France104,12:00-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,01 53 76 39 82,35 avenue des champs elysées,,Paris,35 avenue des champs elysées,,avenue des champs elysées  paris
181,Japon17,,,,,,,,045-321-8707,1-6-31 Minamisaiwai,Nishi-ku,Yokohama-shi,1-6-31 Minamisaiwai,Nishi-ku,1-6-31 minamisaiwai nishi-ku yokohama-shi
182,Etats-Unis15,12:00-17:00,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,(970) 544-1961,218 S Mill St,,Aspen,218 S Mill St,,s mill st  aspen
183,France9,10:00-20:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 45 24 36 72,91 Avenue Paul Doumer,,Paris,91 Avenue Paul Doumer,,avenue paul doumer  paris
184,0102 - Galeries Lafayettes Homme Bordeaux,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,05 57 78 14 25,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,Bordeaux,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,rue sainte catherine galeries lafayette bordeaux bordeaux
185,Canada3,10:00-19:00,10:00-19:00,10:00-19:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-19:00,(604) 681-3121,737 Dunsmuir St,,Vancouver,737 Dunsmuir St,,dunsmuir st  vancouver
